Date time,Automatic Weather Station,Global Solar Radiation(watt/square meter),Direct Solar Radiation(watt/square meter),Diffuse Radiation(watt/square meter)
202406010000,Kau Sai Chau,1.0,0.0,0.0
202406010000,King's Park,0.0,0.0,2.0
202406010010,Kau Sai Chau,1.0,0.0,0.0
202406010010,King's Park,0.0,0.0,2.0
202406010020,King's Park,0.0,0.0,2.0
202406010020,Kau Sai Chau,1.0,0.0,0.0
202406010030,Kau Sai Chau,0.0,0.0,0.0
202406010030,King's Park,0.0,0.0,3.0
202406010040,King's Park,0.0,0.0,3.0
202406010040,Kau Sai Chau,0.0,0.0,0.0
202406010050,King's Park,0.0,0.0,2.0
202406010050,Kau Sai Chau,0.0,0.0,0.0
202406010100,King's Park,0.0,0.0,3.0
202406010100,Kau Sai Chau,0.0,0.0,0.0
202406010110,Kau Sai Chau,1.0,0.0,0.0
202406010110,King's Park,0.0,0.0,4.0
202406010120,King's Park,0.0,0.0,5.0
202406010120,Kau Sai Chau,0.0,0.0,0.0
202406010130,Kau Sai Chau,1.0,0.0,0.0
202406010130,King's Park,0.0,0.0,4.0
202406010140,King's Park,0.0,0.0,3.0
202406010140,Kau Sai Chau,0.0,0.0,0.0
202406010150,Kau Sai Chau,0.0,0.0,0.0
202406010150,King's Park,0.0,0.0,1.0
202406010200,King's Park,0.0,0.0,3.0
202406010200,Kau Sai Chau,0.0,0.0,0.0
202406010210,Kau Sai Chau,0.0,0.0,0.0
202406010210,King's Park,0.0,0.0,3.0
202406010220,King's Park,0.0,0.0,5.0
202406010220,Kau Sai Chau,1.0,0.0,0.0
202406010230,King's Park,0.0,0.0,2.0
202406010230,Kau Sai Chau,0.0,0.0,0.0
202406010240,Kau Sai Chau,0.0,0.0,0.0
202406010240,King's Park,0.0,0.0,3.0
202406010250,Kau Sai Chau,0.0,0.0,0.0
202406010250,King's Park,0.0,0.0,1.0
202406010300,Kau Sai Chau,0.0,0.0,0.0
202406010300,King's Park,0.0,0.0,1.0
202406010310,King's Park,0.0,0.0,1.0
202406010310,Kau Sai Chau,0.0,0.0,0.0
202406010320,King's Park,0.0,0.0,1.0
202406010320,Kau Sai Chau,0.0,0.0,0.0
202406010330,Kau Sai Chau,0.0,0.0,0.0
202406010330,King's Park,0.0,0.0,0.0
202406010340,King's Park,0.0,0.0,2.0
202406010340,Kau Sai Chau,0.0,0.0,0.0
202406010350,Kau Sai Chau,0.0,0.0,0.0
202406010350,King's Park,0.0,0.0,2.0
202406010400,King's Park,0.0,0.0,1.0
202406010400,Kau Sai Chau,0.0,0.0,0.0
202406010410,King's Park,0.0,0.0,0.0
202406010410,Kau Sai Chau,0.0,0.0,0.0
202406010420,Kau Sai Chau,0.0,0.0,0.0
202406010420,King's Park,0.0,0.0,2.0
202406010430,Kau Sai Chau,0.0,0.0,0.0
202406010430,King's Park,0.0,0.0,1.0
202406010440,Kau Sai Chau,7.0,1.0,8.0
202406010440,King's Park,0.0,0.0,0.0
202406010450,King's Park,0.0,0.0,1.0
202406010450,Kau Sai Chau,1.0,0.0,0.0
202406010500,King's Park,1.0,0.0,3.0
202406010500,Kau Sai Chau,1.0,0.0,0.0
202406010510,King's Park,0.0,0.0,2.0
202406010510,Kau Sai Chau,1.0,0.0,0.0
202406010520,King's Park,0.0,0.0,1.0
202406010520,Kau Sai Chau,0.0,0.0,0.0
202406010530,Kau Sai Chau,1.0,1.0,0.0
202406010530,King's Park,0.0,0.0,0.0
202406010540,Kau Sai Chau,4.0,1.0,3.0
202406010540,King's Park,3.0,0.0,1.0
202406010550,King's Park,17.0,0.0,5.0
202406010550,Kau Sai Chau,4.0,1.0,3.0
202406010600,King's Park,23.0,0.0,14.0
202406010600,Kau Sai Chau,15.0,1.0,15.0
202406010610,Kau Sai Chau,17.0,1.0,15.0
202406010610,King's Park,24.0,0.0,27.0
202406010620,Kau Sai Chau,32.0,0.0,30.0
202406010620,King's Park,84.0,0.0,20.0
202406010630,Kau Sai Chau,46.0,0.0,44.0
202406010630,King's Park,74.0,1.0,74.0
202406010640,King's Park,71.0,0.0,44.0
202406010640,Kau Sai Chau,73.0,0.0,71.0
