Date time,Automatic Weather Station,Global Solar Radiation(watt/square meter),Direct Solar Radiation(watt/square meter),Diffuse Radiation(watt/square meter)
202309020100,King's Park,0.0,0.0,0.0
202309020100,Kau Sai Chau,0.0,0.0,0.0
202309020100,King's Park,0.0,0.0,0.0
202309020100,Kau Sai Chau,0.0,0.0,0.0
202309020100,King's Park,0.0,0.0,0.0
202309020100,Kau Sai Chau,0.0,0.0,0.0
202309020100,King's Park,0.0,0.0,0.0
202309020100,Kau Sai Chau,0.0,0.0,0.0
202407010000,King's Park,0.0,0.0,1.0
202407010000,Kau Sai Chau,0.0,0.0,0.0
202407010010,King's Park,0.0,0.0,3.0
202407010010,Kau Sai Chau,0.0,0.0,0.0
202407010020,King's Park,0.0,0.0,2.0
202407010020,Kau Sai Chau,0.0,0.0,0.0
202407010030,King's Park,0.0,0.0,4.0
202407010030,Kau Sai Chau,0.0,0.0,0.0
202407010040,Kau Sai Chau,0.0,0.0,0.0
202407010040,King's Park,0.0,0.0,1.0
202407010050,Kau Sai Chau,6.0,1.0,6.0
202407010050,King's Park,0.0,0.0,1.0
202407010100,King's Park,0.0,0.0,1.0
202407010100,Kau Sai Chau,0.0,0.0,0.0
202407010110,Kau Sai Chau,0.0,0.0,0.0
202407010110,King's Park,0.0,0.0,3.0
202407010120,Kau Sai Chau,0.0,0.0,0.0
202407010120,King's Park,0.0,0.0,1.0
202407010130,King's Park,0.0,0.0,2.0
202407010130,Kau Sai Chau,0.0,0.0,0.0
202407010140,Kau Sai Chau,0.0,0.0,0.0
202407010140,King's Park,0.0,0.0,2.0
202407010150,Kau Sai Chau,0.0,0.0,0.0
202407010150,King's Park,0.0,0.0,1.0
202407010200,Kau Sai Chau,0.0,0.0,0.0
202407010200,King's Park,0.0,0.0,5.0
202407010210,Kau Sai Chau,0.0,0.0,0.0
202407010210,King's Park,0.0,0.0,3.0
202407010220,King's Park,1.0,0.0,1.0
202407010220,Kau Sai Chau,0.0,0.0,0.0
202407010230,Kau Sai Chau,6.0,1.0,7.0
202407010230,King's Park,2.0,0.0,1.0
202407010240,Kau Sai Chau,1.0,0.0,2.0
202407010240,King's Park,1.0,0.0,0.0
202407010250,King's Park,0.0,0.0,1.0
202407010250,Kau Sai Chau,0.0,0.0,0.0
202407010300,Kau Sai Chau,0.0,0.0,0.0
202407010300,King's Park,1.0,0.0,0.0
202407010310,King's Park,1.0,0.0,0.0
202407010310,Kau Sai Chau,0.0,0.0,0.0
202407010320,King's Park,2.0,0.0,1.0
202407010320,Kau Sai Chau,0.0,0.0,0.0
202407010330,Kau Sai Chau,0.0,0.0,1.0
202407010330,King's Park,2.0,0.0,0.0
202407010340,Kau Sai Chau,0.0,0.0,0.0
202407010340,King's Park,2.0,0.0,0.0
202407010350,Kau Sai Chau,0.0,0.0,0.0
202407010350,King's Park,1.0,0.0,1.0
202407010400,King's Park,2.0,0.0,1.0
202407010400,Kau Sai Chau,0.0,0.0,0.0
202407010410,King's Park,0.0,0.0,4.0
202407010410,Kau Sai Chau,0.0,0.0,0.0
202407010420,King's Park,1.0,0.0,0.0
202407010420,Kau Sai Chau,0.0,0.0,0.0
