Date time,Automatic Weather Station,Global Solar Radiation(watt/square meter),Direct Solar Radiation(watt/square meter),Diffuse Radiation(watt/square meter)
202402010000,Kau Sai Chau,0.0,0.0,0.0
202402010000,King's Park,0.0,0.0,0.0
202402010010,Kau Sai Chau,0.0,0.0,0.0
202402010010,King's Park,0.0,0.0,0.0
202402010020,Kau Sai Chau,0.0,0.0,0.0
202402010020,King's Park,0.0,0.0,0.0
202402010030,Kau Sai Chau,0.0,0.0,0.0
202402010030,King's Park,0.0,0.0,0.0
202402010040,Kau Sai Chau,0.0,0.0,0.0
202402010040,King's Park,0.0,0.0,0.0
202402010050,Kau Sai Chau,0.0,0.0,0.0
202402010050,King's Park,0.0,0.0,0.0
202402010100,Kau Sai Chau,0.0,0.0,0.0
202402010100,King's Park,0.0,0.0,0.0
202402010110,King's Park,0.0,0.0,0.0
202402010110,Kau Sai Chau,0.0,0.0,0.0
202402010120,Kau Sai Chau,0.0,0.0,0.0
202402010120,King's Park,0.0,0.0,0.0
202402010130,Kau Sai Chau,0.0,0.0,0.0
202402010130,King's Park,0.0,0.0,0.0
202402010140,Kau Sai Chau,0.0,0.0,0.0
202402010140,King's Park,0.0,0.0,0.0
202402010150,Kau Sai Chau,0.0,0.0,0.0
202402010150,King's Park,0.0,0.0,0.0
202402010200,Kau Sai Chau,0.0,0.0,0.0
202402010200,King's Park,0.0,0.0,0.0
202402010210,Kau Sai Chau,0.0,0.0,0.0
202402010210,King's Park,0.0,0.0,0.0
202402010220,Kau Sai Chau,0.0,0.0,0.0
202402010220,King's Park,0.0,0.0,0.0
202402010230,King's Park,0.0,0.0,0.0
202402010230,Kau Sai Chau,0.0,0.0,0.0
202402010240,Kau Sai Chau,0.0,0.0,0.0
202402010240,King's Park,0.0,0.0,0.0
202402010250,Kau Sai Chau,0.0,0.0,1.0
202402010250,King's Park,0.0,0.0,0.0
202402010300,Kau Sai Chau,0.0,0.0,0.0
202402010300,King's Park,0.0,0.0,0.0
202402010310,Kau Sai Chau,0.0,0.0,0.0
202402010310,King's Park,0.0,0.0,0.0
202402010320,Kau Sai Chau,0.0,0.0,0.0
202402010320,King's Park,0.0,0.0,0.0
202402010330,Kau Sai Chau,1.0,0.0,1.0
202402010330,King's Park,0.0,0.0,0.0
202402010340,Kau Sai Chau,0.0,0.0,0.0
202402010340,King's Park,0.0,0.0,0.0
202402010350,King's Park,0.0,0.0,0.0
202402010350,Kau Sai Chau,0.0,0.0,0.0
202402010400,Kau Sai Chau,0.0,0.0,0.0
202402010400,King's Park,0.0,0.0,0.0
202402010410,Kau Sai Chau,0.0,0.0,0.0
202402010410,King's Park,0.0,0.0,0.0
202402010420,Kau Sai Chau,0.0,0.0,0.0
202402010420,King's Park,0.0,0.0,0.0
202402010430,Kau Sai Chau,0.0,0.0,0.0
202402010430,King's Park,0.0,0.0,0.0
202402010440,Kau Sai Chau,0.0,0.0,0.0
202402010440,King's Park,0.0,0.0,0.0
202402010450,Kau Sai Chau,0.0,0.0,0.0
202402010450,King's Park,0.0,0.0,0.0
202402010500,Kau Sai Chau,0.0,0.0,0.0
202402010500,King's Park,0.0,0.0,0.0
202402010510,Kau Sai Chau,0.0,0.0,0.0
202402010510,King's Park,0.0,0.0,0.0
202402010520,King's Park,0.0,0.0,0.0
202402010520,Kau Sai Chau,0.0,0.0,0.0
202402010530,Kau Sai Chau,0.0,0.0,0.0
202402010530,King's Park,0.0,0.0,0.0
202402010540,Kau Sai Chau,0.0,0.0,0.0
202402010540,King's Park,0.0,0.0,0.0
202402010550,Kau Sai Chau,0.0,0.0,0.0
202402010550,King's Park,0.0,0.0,0.0
202402010600,Kau Sai Chau,0.0,0.0,0.0
202402010600,King's Park,0.0,0.0,0.0
202402010610,Kau Sai Chau,0.0,0.0,0.0
202402010610,King's Park,0.0,0.0,0.0
202402010620,Kau Sai Chau,0.0,0.0,0.0
202402010620,King's Park,0.0,0.0,0.0
202402010630,Kau Sai Chau,0.0,0.0,0.0
202402010630,King's Park,0.0,0.0,0.0
202402010640,King's Park,0.0,0.0,0.0
202402010640,Kau Sai Chau,0.0,0.0,0.0
202402010650,Kau Sai Chau,0.0,0.0,0.0
202402010650,King's Park,0.0,0.0,0.0
202402010700,Kau Sai Chau,0.0,0.0,0.0
202402010700,King's Park,1.0,0.0,1.0
202402010710,Kau Sai Chau,3.0,0.0,2.0
202402010710,King's Park,7.0,0.0,5.0
202402010720,Kau Sai Chau,5.0,0.0,5.0
202402010720,King's Park,20.0,0.0,17.0
202402010730,Kau Sai Chau,9.0,0.0,9.0
202402010730,King's Park,29.0,0.0,25.0
202402010740,Kau Sai Chau,15.0,0.0,14.0
202402010740,King's Park,28.0,0.0,26.0
202402010750,Kau Sai Chau,16.0,0.0,15.0
202402010750,King's Park,33.0,0.0,31.0
202402010800,King's Park,42.0,0.0,37.0
202402010800,Kau Sai Chau,28.0,0.0,27.0
202402010810,Kau Sai Chau,50.0,0.0,49.0
202402010810,King's Park,50.0,0.0,38.0
202402010820,Kau Sai Chau,57.0,0.0,56.0
202402010820,King's Park,68.0,0.0,68.0
202402010830,Kau Sai Chau,43.0,0.0,43.0
202402010830,King's Park,113.0,0.0,116.0
202402010840,Kau Sai Chau,88.0,0.0,87.0
202402010840,King's Park,159.0,1.0,138.0
202402010850,Kau Sai Chau,50.0,0.0,49.0
202402010850,King's Park,157.0,1.0,169.0
202402010900,Kau Sai Chau,57.0,0.0,56.0
202402010900,King's Park,184.0,1.0,157.0
202402010910,Kau Sai Chau,128.0,0.0,125.0
202402010910,King's Park,173.0,1.0,221.0
202402010920,King's Park,134.0,0.0,107.0
202402010920,Kau Sai Chau,103.0,0.0,100.0
202402010930,Kau Sai Chau,92.0,0.0,89.0
202402010930,King's Park,166.0,0.0,159.0
202402010940,Kau Sai Chau,82.0,0.0,81.0
202402010940,King's Park,191.0,1.0,214.0
202402010950,Kau Sai Chau,94.0,0.0,92.0
202402010950,King's Park,284.0,2.0,245.0
202402011000,Kau Sai Chau,126.0,0.0,124.0
202402011000,King's Park,224.0,0.0,217.0
202402011010,Kau Sai Chau,78.0,0.0,76.0
202402011010,King's Park,281.0,1.0,272.0
202402011020,Kau Sai Chau,95.0,0.0,93.0
202402011020,King's Park,269.0,1.0,271.0
202402011030,Kau Sai Chau,111.0,0.0,108.0
202402011030,King's Park,233.0,0.0,236.0
202402011040,King's Park,179.0,0.0,166.0
202402011040,Kau Sai Chau,85.0,0.0,82.0
202402011050,King's Park,242.0,0.0,208.0
202402011050,Kau Sai Chau,110.0,0.0,108.0
202402011100,Kau Sai Chau,181.0,0.0,177.0
202402011100,King's Park,235.0,1.0,192.0
202402011110,Kau Sai Chau,205.0,0.0,200.0
202402011110,King's Park,294.0,1.0,302.0
202402011120,Kau Sai Chau,257.0,1.0,252.0
202402011120,King's Park,526.0,6.0,466.0
202402011130,Kau Sai Chau,190.0,1.0,186.0
202402011130,King's Park,630.0,152.0,593.0
202402011140,King's Park,623.0,571.0,465.0
202402011140,Kau Sai Chau,309.0,1.0,304.0
202402011150,Kau Sai Chau,308.0,1.0,301.0
202402011150,King's Park,963.0,276.0,456.0
202402011200,Kau Sai Chau,262.0,1.0,256.0
202402011200,King's Park,480.0,66.0,462.0
202402011210,Kau Sai Chau,208.0,1.0,204.0
202402011210,King's Park,441.0,11.0,472.0
202402011220,King's Park,722.0,35.0,363.0
202402011220,Kau Sai Chau,197.0,1.0,195.0
202402011230,Kau Sai Chau,181.0,1.0,180.0
202402011230,King's Park,481.0,515.0,320.0
202402011240,Kau Sai Chau,441.0,2.0,425.0
202402011240,King's Park,585.0,682.0,297.0
202402011250,Kau Sai Chau,352.0,1.0,340.0
202402011250,King's Park,890.0,637.0,310.0
202402011300,Kau Sai Chau,435.0,4.0,423.0
202402011300,King's Park,528.0,763.0,259.0
202402011310,Kau Sai Chau,274.0,0.0,265.0
202402011310,King's Park,448.0,45.0,241.0
202402011320,Kau Sai Chau,407.0,2.0,395.0
202402011320,King's Park,625.0,182.0,222.0
202402011330,Kau Sai Chau,460.0,11.0,436.0
202402011330,King's Park,870.0,715.0,267.0
202402011340,King's Park,668.0,487.0,279.0
202402011340,Kau Sai Chau,510.0,27.0,471.0
202402011350,Kau Sai Chau,459.0,8.0,439.0
202402011350,King's Park,398.0,47.0,301.0
202402011400,Kau Sai Chau,538.0,39.0,489.0
202402011400,King's Park,420.0,131.0,240.0
202402011410,Kau Sai Chau,760.0,466.0,432.0
202402011410,King's Park,214.0,103.0,218.0
202402011420,Kau Sai Chau,314.0,173.0,210.0
202402011420,King's Park,199.0,8.0,182.0
202402011430,Kau Sai Chau,636.0,549.0,252.0
202402011430,King's Park,208.0,0.0,206.0
202402011440,Kau Sai Chau,673.0,630.0,258.0
202402011440,King's Park,205.0,0.0,196.0
202402011450,Kau Sai Chau,636.0,722.0,173.0
202402011450,King's Park,213.0,0.0,193.0
202402011500,King's Park,333.0,66.0,283.0
202402011500,Kau Sai Chau,456.0,345.0,231.0
202402011510,Kau Sai Chau,575.0,707.0,150.0
202402011510,King's Park,419.0,24.0,256.0
202402011520,Kau Sai Chau,270.0,79.0,199.0
202402011520,King's Park,646.0,700.0,251.0
202402011530,Kau Sai Chau,576.0,672.0,209.0
202402011530,King's Park,408.0,534.0,188.0
202402011540,Kau Sai Chau,581.0,636.0,249.0
202402011540,King's Park,493.0,666.0,144.0
202402011550,Kau Sai Chau,533.0,426.0,305.0
202402011550,King's Park,475.0,290.0,163.0
202402011600,Kau Sai Chau,499.0,502.0,269.0
202402011600,King's Park,159.0,6.0,159.0
202402011610,King's Park,152.0,3.0,146.0
202402011610,Kau Sai Chau,241.0,20.0,224.0
202402011620,King's Park,334.0,502.0,129.0
202402011620,Kau Sai Chau,204.0,13.0,192.0
202402011630,Kau Sai Chau,422.0,484.0,241.0
202402011630,King's Park,120.0,25.0,103.0
202402011640,Kau Sai Chau,326.0,488.0,162.0
202402011640,King's Park,256.0,447.0,105.0
202402011650,Kau Sai Chau,282.0,400.0,160.0
202402011650,King's Park,217.0,194.0,99.0
202402011700,Kau Sai Chau,162.0,168.0,116.0
202402011700,King's Park,196.0,348.0,104.0
202402011710,Kau Sai Chau,175.0,283.0,109.0
202402011710,King's Park,164.0,299.0,97.0
202402011720,Kau Sai Chau,136.0,200.0,97.0
202402011720,King's Park,124.0,208.0,91.0
202402011730,Kau Sai Chau,89.0,153.0,65.0
202402011730,King's Park,82.0,177.0,62.0
202402011740,King's Park,52.0,100.0,45.0
202402011740,Kau Sai Chau,51.0,29.0,47.0
202402011750,Kau Sai Chau,33.0,23.0,30.0
202402011750,King's Park,25.0,0.0,28.0
202402011800,Kau Sai Chau,14.0,0.0,14.0
202402011800,King's Park,11.0,0.0,14.0
202402011810,Kau Sai Chau,5.0,0.0,5.0
202402011810,King's Park,3.0,0.0,5.0
202402011820,Kau Sai Chau,0.0,0.0,1.0
202402011820,King's Park,0.0,0.0,1.0
202402011830,Kau Sai Chau,0.0,0.0,0.0
202402011830,King's Park,0.0,0.0,0.0
202402011840,Kau Sai Chau,0.0,0.0,0.0
202402011840,King's Park,0.0,0.0,0.0
202402011850,Kau Sai Chau,0.0,0.0,0.0
202402011850,King's Park,0.0,0.0,0.0
202402011900,King's Park,0.0,0.0,0.0
202402011900,Kau Sai Chau,0.0,0.0,0.0
202402011910,Kau Sai Chau,0.0,0.0,0.0
202402011910,King's Park,0.0,0.0,0.0
202402011920,Kau Sai Chau,0.0,0.0,0.0
202402011920,King's Park,0.0,0.0,0.0
202402011930,Kau Sai Chau,0.0,0.0,0.0
202402011930,King's Park,0.0,0.0,0.0
202402011940,Kau Sai Chau,0.0,0.0,0.0
202402011940,King's Park,0.0,0.0,0.0
202402011950,Kau Sai Chau,0.0,0.0,0.0
202402011950,King's Park,0.0,0.0,0.0
202402012000,Kau Sai Chau,0.0,0.0,0.0
202402012000,King's Park,0.0,0.0,0.0
202402012010,King's Park,0.0,0.0,0.0
202402012010,Kau Sai Chau,0.0,0.0,0.0
202402012020,King's Park,0.0,0.0,0.0
202402012020,Kau Sai Chau,0.0,0.0,0.0
202402012030,Kau Sai Chau,0.0,0.0,0.0
202402012030,King's Park,0.0,0.0,0.0
202402012040,Kau Sai Chau,0.0,0.0,0.0
202402012040,King's Park,0.0,0.0,0.0
202402012050,Kau Sai Chau,0.0,0.0,0.0
202402012050,King's Park,0.0,0.0,0.0
202402012100,Kau Sai Chau,0.0,0.0,0.0
202402012100,King's Park,0.0,0.0,0.0
202402012110,Kau Sai Chau,0.0,0.0,0.0
202402012110,King's Park,0.0,0.0,0.0
202402012120,Kau Sai Chau,0.0,0.0,0.0
202402012120,King's Park,0.0,0.0,0.0
202402012130,King's Park,0.0,0.0,0.0
202402012130,Kau Sai Chau,0.0,0.0,0.0
202402012140,King's Park,0.0,0.0,0.0
202402012140,Kau Sai Chau,0.0,0.0,0.0
202402012150,Kau Sai Chau,0.0,0.0,0.0
202402012150,King's Park,0.0,0.0,0.0
202402012200,Kau Sai Chau,0.0,0.0,0.0
202402012200,King's Park,0.0,0.0,0.0
202402012210,Kau Sai Chau,0.0,0.0,0.0
202402012210,King's Park,0.0,0.0,0.0
