Date time,Automatic Weather Station,Global Solar Radiation(watt/square meter),Direct Solar Radiation(watt/square meter),Diffuse Radiation(watt/square meter)
202405010000,Kau Sai Chau,0.0,0.0,0.0
202405010000,King's Park,0.0,0.0,0.0
202405010010,Kau Sai Chau,1.0,0.0,0.0
202405010010,King's Park,0.0,0.0,0.0
202405010020,Kau Sai Chau,0.0,0.0,0.0
202405010020,King's Park,3.0,0.0,0.0
202405010030,King's Park,2.0,0.0,0.0
202405010030,Kau Sai Chau,0.0,0.0,0.0
202405010040,Kau Sai Chau,2.0,0.0,2.0
202405010040,King's Park,1.0,0.0,0.0
202405010050,Kau Sai Chau,0.0,0.0,0.0
202405010050,King's Park,1.0,0.0,0.0
202405010100,King's Park,2.0,0.0,0.0
202405010100,Kau Sai Chau,1.0,0.0,0.0
202405010110,Kau Sai Chau,0.0,0.0,0.0
202405010110,King's Park,3.0,0.0,0.0
202405010120,King's Park,3.0,0.0,0.0
202405010120,Kau Sai Chau,2.0,0.0,1.0
202405010130,Kau Sai Chau,1.0,0.0,0.0
202405010130,King's Park,3.0,0.0,1.0
202405010140,Kau Sai Chau,1.0,0.0,0.0
202405010140,King's Park,3.0,0.0,1.0
202405010150,King's Park,3.0,0.0,1.0
202405010150,Kau Sai Chau,2.0,0.0,2.0
202405010200,King's Park,2.0,0.0,0.0
202405010200,Kau Sai Chau,1.0,0.0,1.0
202405010210,King's Park,0.0,0.0,0.0
202405010210,Kau Sai Chau,1.0,0.0,1.0
202405010220,Kau Sai Chau,0.0,0.0,0.0
202405010220,King's Park,0.0,0.0,0.0
202405010230,Kau Sai Chau,2.0,0.0,2.0
202405010230,King's Park,0.0,0.0,0.0
202405010240,King's Park,0.0,0.0,0.0
202405010240,Kau Sai Chau,0.0,1.0,0.0
202405010250,Kau Sai Chau,0.0,0.0,0.0
202405010250,King's Park,0.0,0.0,0.0
202405010300,King's Park,1.0,0.0,0.0
202405010300,Kau Sai Chau,0.0,0.0,0.0
202405010310,Kau Sai Chau,0.0,0.0,0.0
202405010310,King's Park,1.0,0.0,0.0
202405010320,King's Park,1.0,0.0,0.0
202405010320,Kau Sai Chau,0.0,0.0,0.0
202405010330,King's Park,0.0,0.0,0.0
202405010330,Kau Sai Chau,0.0,0.0,0.0
202405010340,King's Park,0.0,0.0,0.0
202405010340,Kau Sai Chau,0.0,0.0,0.0
202405010350,Kau Sai Chau,0.0,0.0,0.0
202405010350,King's Park,0.0,0.0,1.0
202405010400,King's Park,0.0,0.0,0.0
202405010400,Kau Sai Chau,0.0,0.0,0.0
202405010410,Kau Sai Chau,0.0,0.0,0.0
202405010410,King's Park,0.0,0.0,0.0
202405010420,King's Park,0.0,0.0,0.0
202405010420,Kau Sai Chau,0.0,0.0,0.0
202405010430,King's Park,0.0,0.0,0.0
202405010430,Kau Sai Chau,0.0,0.0,0.0
202405010440,King's Park,1.0,0.0,0.0
202405010440,Kau Sai Chau,0.0,0.0,0.0
202405010450,Kau Sai Chau,0.0,0.0,0.0
202405010450,King's Park,1.0,0.0,0.0
202405010500,King's Park,0.0,0.0,0.0
202405010500,Kau Sai Chau,0.0,0.0,0.0
202405010510,Kau Sai Chau,0.0,0.0,0.0
202405010510,King's Park,2.0,0.0,0.0
202405010520,King's Park,0.0,0.0,1.0
202405010520,Kau Sai Chau,,,
202405010530,King's Park,0.0,0.0,0.0
202405010530,Kau Sai Chau,,,
202405010540,Kau Sai Chau,,,
202405010540,King's Park,0.0,0.0,0.0
202405010550,Kau Sai Chau,,,
202405010550,King's Park,0.0,0.0,0.0
202405010600,King's Park,0.0,0.0,1.0
202405010600,Kau Sai Chau,,,
202405010610,King's Park,1.0,0.0,1.0
202405010610,Kau Sai Chau,,,
202405010620,Kau Sai Chau,,,
202405010620,King's Park,1.0,0.0,2.0
202405010630,Kau Sai Chau,,,
202405010630,King's Park,2.0,0.0,2.0
202405010640,Kau Sai Chau,,,
202405010640,King's Park,4.0,0.0,3.0
