Date time,Automatic Weather Station,Global Solar Radiation(watt/square meter),Direct Solar Radiation(watt/square meter),Diffuse Radiation(watt/square meter)
202411010000,Kau Sai Chau,0.0,0.0,0.0
202411010000,King's Park,0.0,0.0,1.0
202411010010,King's Park,0.0,0.0,4.0
202411010010,Kau Sai Chau,0.0,0.0,0.0
202411010020,Kau Sai Chau,0.0,0.0,0.0
202411010020,King's Park,0.0,0.0,2.0
202411010030,Kau Sai Chau,0.0,0.0,0.0
202411010030,King's Park,0.0,0.0,2.0
202411010040,King's Park,0.0,0.0,0.0
202411010040,Kau Sai Chau,0.0,0.0,0.0
202411010050,Kau Sai Chau,0.0,0.0,0.0
202411010050,King's Park,0.0,0.0,6.0
202411010100,King's Park,0.0,0.0,1.0
202411010100,Kau Sai Chau,0.0,0.0,0.0
202411010110,Kau Sai Chau,0.0,1.0,0.0
202411010110,King's Park,0.0,0.0,1.0
202411010120,Kau Sai Chau,0.0,1.0,0.0
202411010120,King's Park,0.0,0.0,1.0
202411010130,King's Park,0.0,0.0,2.0
202411010130,Kau Sai Chau,0.0,1.0,0.0
202411010140,King's Park,0.0,0.0,4.0
202411010140,Kau Sai Chau,0.0,1.0,0.0
202411010150,King's Park,0.0,0.0,0.0
202411010150,Kau Sai Chau,0.0,1.0,0.0
202411010200,Kau Sai Chau,0.0,1.0,0.0
202411010200,King's Park,0.0,0.0,2.0
202411010210,King's Park,0.0,0.0,2.0
202411010210,Kau Sai Chau,0.0,1.0,0.0
202411010220,Kau Sai Chau,0.0,1.0,0.0
202411010220,King's Park,0.0,0.0,0.0
202411010230,Kau Sai Chau,0.0,1.0,0.0
202411010230,King's Park,0.0,0.0,4.0
202411010240,King's Park,0.0,0.0,3.0
202411010240,Kau Sai Chau,0.0,1.0,0.0
202411010250,King's Park,0.0,0.0,4.0
202411010250,Kau Sai Chau,0.0,1.0,0.0
202411010300,Kau Sai Chau,0.0,1.0,0.0
202411010300,King's Park,0.0,0.0,1.0
202411010310,Kau Sai Chau,0.0,1.0,0.0
202411010310,King's Park,0.0,0.0,1.0
202411010320,King's Park,0.0,0.0,0.0
202411010320,Kau Sai Chau,0.0,1.0,0.0
202411010330,King's Park,0.0,0.0,0.0
202411010330,Kau Sai Chau,0.0,1.0,0.0
202411010340,King's Park,0.0,0.0,6.0
202411010340,Kau Sai Chau,0.0,0.0,0.0
202411010350,King's Park,0.0,0.0,2.0
202411010350,Kau Sai Chau,0.0,1.0,0.0
202411010400,Kau Sai Chau,0.0,1.0,0.0
202411010400,King's Park,0.0,0.0,6.0
