Date time,Automatic Weather Station,Global Solar Radiation(watt/square meter),Direct Solar Radiation(watt/square meter),Diffuse Radiation(watt/square meter)
202312312350,Kau Sai Chau,0.0,0.0,0.0
202312312350,King's Park,0.0,0.0,0.0
202401010000,Kau Sai Chau,0.0,0.0,0.0
202401010000,King's Park,0.0,0.0,0.0
202401010010,Kau Sai Chau,0.0,0.0,0.0
202401010010,King's Park,0.0,0.0,0.0
202401010020,Kau Sai Chau,0.0,0.0,0.0
202401010020,King's Park,0.0,0.0,0.0
202401010030,Kau Sai Chau,0.0,0.0,0.0
202401010030,King's Park,0.0,0.0,0.0
202401010040,Kau Sai Chau,0.0,0.0,0.0
202401010040,King's Park,0.0,0.0,0.0
202401010050,King's Park,0.0,0.0,0.0
202401010050,Kau Sai Chau,0.0,0.0,0.0
202401010100,Kau Sai Chau,0.0,0.0,0.0
202401010100,King's Park,0.0,0.0,0.0
202401010110,Kau Sai Chau,0.0,0.0,0.0
202401010110,King's Park,0.0,0.0,0.0
202401010120,Kau Sai Chau,0.0,0.0,0.0
202401010120,King's Park,0.0,0.0,0.0
202401010130,Kau Sai Chau,0.0,0.0,0.0
202401010130,King's Park,0.0,0.0,0.0
202401010140,Kau Sai Chau,0.0,0.0,0.0
202401010140,King's Park,0.0,0.0,0.0
202401010150,Kau Sai Chau,0.0,0.0,0.0
202401010150,King's Park,0.0,0.0,0.0
202401010200,King's Park,0.0,0.0,0.0
202401010200,Kau Sai Chau,0.0,0.0,0.0
202401010210,Kau Sai Chau,0.0,0.0,0.0
202401010210,King's Park,0.0,0.0,0.0
202401010220,Kau Sai Chau,0.0,0.0,0.0
202401010220,King's Park,0.0,0.0,0.0
202401010230,Kau Sai Chau,0.0,0.0,0.0
202401010230,King's Park,0.0,0.0,0.0
202401010240,Kau Sai Chau,0.0,0.0,0.0
202401010240,King's Park,0.0,0.0,0.0
202401010250,Kau Sai Chau,0.0,0.0,0.0
202401010250,King's Park,0.0,0.0,0.0
202401010300,Kau Sai Chau,0.0,0.0,0.0
202401010300,King's Park,0.0,0.0,0.0
202401010310,King's Park,0.0,0.0,0.0
202401010310,Kau Sai Chau,0.0,0.0,0.0
202401010320,Kau Sai Chau,0.0,0.0,0.0
202401010320,King's Park,0.0,0.0,0.0
202401010330,Kau Sai Chau,0.0,0.0,0.0
