Date time,Automatic Weather Station,Global Solar Radiation(watt/square meter),Direct Solar Radiation(watt/square meter),Diffuse Radiation(watt/square meter)
202501010000,Kau Sai Chau,0.0,1.0,0.0
202501010000,King's Park,0.0,0.0,0.0
202501010010,King's Park,0.0,0.0,0.0
202501010010,Kau Sai Chau,0.0,1.0,0.0
202501010020,King's Park,0.0,0.0,0.0
202501010020,Kau Sai Chau,0.0,1.0,0.0
202501010030,King's Park,0.0,0.0,0.0
202501010030,Kau Sai Chau,0.0,1.0,0.0
202501010040,King's Park,0.0,0.0,0.0
202501010040,Kau Sai Chau,0.0,1.0,0.0
202501010050,King's Park,0.0,0.0,0.0
202501010050,Kau Sai Chau,0.0,1.0,0.0
202501010100,King's Park,0.0,0.0,0.0
202501010100,Kau Sai Chau,0.0,1.0,0.0
202501010110,King's Park,0.0,0.0,0.0
202501010110,Kau Sai Chau,0.0,1.0,0.0
202501010120,King's Park,0.0,0.0,0.0
202501010120,Kau Sai Chau,0.0,1.0,0.0
202501010130,King's Park,0.0,0.0,0.0
202501010130,Kau Sai Chau,0.0,1.0,0.0
202501010140,King's Park,0.0,0.0,0.0
202501010140,Kau Sai Chau,0.0,1.0,0.0
202501010150,King's Park,0.0,0.0,0.0
202501010150,Kau Sai Chau,0.0,1.0,0.0
202501010200,Kau Sai Chau,0.0,1.0,0.0
202501010200,King's Park,0.0,0.0,0.0
202501010210,King's Park,0.0,0.0,0.0
202501010210,Kau Sai Chau,0.0,1.0,0.0
202501010220,Kau Sai Chau,0.0,1.0,0.0
202501010220,King's Park,0.0,0.0,0.0
202501010230,King's Park,0.0,0.0,0.0
202501010230,Kau Sai Chau,0.0,1.0,0.0
202501010240,Kau Sai Chau,0.0,1.0,0.0
202501010240,King's Park,0.0,0.0,0.0
202501010250,King's Park,0.0,0.0,0.0
202501010250,Kau Sai Chau,0.0,1.0,0.0
202501010300,King's Park,0.0,0.0,0.0
202501010300,Kau Sai Chau,0.0,1.0,0.0
202501010310,King's Park,0.0,0.0,0.0
202501010310,Kau Sai Chau,0.0,1.0,0.0
202501010320,King's Park,0.0,0.0,0.0
202501010320,Kau Sai Chau,0.0,1.0,0.0
202501010330,Kau Sai Chau,0.0,1.0,0.0
202501010330,King's Park,0.0,0.0,0.0
202501010340,King's Park,0.0,0.0,0.0
202501010340,Kau Sai Chau,0.0,1.0,0.0
202501010350,Kau Sai Chau,0.0,1.0,0.0
202501010350,King's Park,0.0,0.0,0.0
202501010400,King's Park,0.0,0.0,0.0
202501010400,Kau Sai Chau,0.0,1.0,0.0
202501010410,King's Park,0.0,0.0,0.0
202501010410,Kau Sai Chau,0.0,1.0,0.0
202501010420,King's Park,0.0,0.0,0.0
202501010420,Kau Sai Chau,0.0,1.0,0.0
202501010430,Kau Sai Chau,0.0,1.0,0.0
202501010430,King's Park,0.0,0.0,0.0
202501010440,Kau Sai Chau,0.0,1.0,0.0
202501010440,King's Park,0.0,0.0,0.0
202501010450,Kau Sai Chau,0.0,1.0,0.0
202501010450,King's Park,0.0,0.0,0.0
202501010500,King's Park,0.0,0.0,0.0
